"concept_id","person_id_count","record_count","concept_name"
36768862,34474,49927,"Metastasis to brain"
35226222,1538,1747,"Metastasis to digestive organ"
35225580,1699,2564,"Metastasis to urinary system"
36770040,163,208,"Metastasis to gastrointestinal tract"
35225631,333,362,"Metastasis to left ovary"
35225775,4029,7047,"Metastasis to nervous system"
704985,13421,20332,"Metastasis to abdomen"
35225543,2377,3502,"Metastasis to large intestine"
35225630,6111,6949,"Metastasis to left lung"
35226258,1809,1941,"Metastasis to pleura"
35226288,1034,1144,"Metastasis to right adrenal gland"
35225673,1642,1855,"Metastasis to skin"
712644,222,257,"Metastasis to left kidney"
712646,222,257,"Metastasis to left renal pelvis"
35225568,1176,1299,"Metastasis to adrenal gland"
35226152,2635,3679,"Metastasis to genital organs"
35225542,1445,1523,"Metastasis to mediastinum"
36770544,30244,35648,"Metastasis to liver"
35226280,421,582,"Metastasis to respiratory tract"
36769180,19368,26613,"Metastasis"
36769301,96563,139017,"Metastasis to bone"
36770283,13197,15646,"Metastasis to lung"
35226074,2797,3600,"Metastasis to bone marrow"
35225556,785,948,"Metastasis to breast"
35226099,176,194,"Metastasis to cerebral meninges"
35226292,7073,8040,"Metastasis to right lung"
35225743,15373,25752,"Metastasis to spinal cord"
35226041,535,608,"Metastasis to bladder"
35225626,1321,1434,"Metastasis to left adrenal gland"
35225656,354,382,"Metastasis to right ovary"
35226230,385,456,"Metastasis to ovary"
35225719,432,472,"Metastasis to small intestine"
3006575,674941,1006827,"Distant metastases.clinical [Class] Cancer"
