"concept_id","person_id_count","record_count","concept_name"
45770892,8574,15479,"Primary malignant neoplasm of uterus"
36712713,8,8,"Primary basal cell carcinoma of left eyelid"
36712715,3,3,"Primary basal cell carcinoma of right eyelid"
759930,7178,9838,"Intraductal carcinoma in situ of left breast"
45757107,120,219,"Malignant neoplastic disease in pregnancy"
45757101,1,1,"Malignant neoplastic disease in mother complicating childbirth"
37208308,41,41,"Benign neoplasm of skin of left eyelid"
37208309,36,37,"Benign neoplasm of skin of right eyelid"
759931,7175,9772,"Intraductal carcinoma in situ of right breast"
4031113,463,1043,"Melanoma in situ of lower limb"
4033835,25,57,"Melanoma in situ of lip"
4033836,49,90,"Melanoma in situ of eyelid, including canthus"
258981,485,572,"Kaposi's sarcoma of skin"
436352,364,581,"Primary malignant neoplasm of laryngeal cartilage"
258375,7033,11364,"Overlapping malignant neoplasm of bronchus and lung"
4033891,213,399,"Mesothelioma (malignant, clinical disorder)"
4033300,61,129,"Melanoma in situ of skin of breast"
4031111,859,1891,"Melanoma in situ of upper limb"
312846,36,42,"Kaposi's sarcoma of lymph nodes"
4031107,1,1,"Melanoma in situ of face"
4033318,43,54,"Overlapping malignant neoplasm of bone and articular cartilage of limbs"
22839,583,1009,"Overlapping malignant neoplasm of larynx"
4032870,4,4,"Malignant mesothelioma of pericardium"
35610328,101,115,"B-cell Hodgkin's lymphoma"
4031756,979,2126,"Melanoma in situ of skin (clinical)"
434584,520,704,"Kaposi's sarcoma (clinical)"
198085,35,41,"Kaposi's sarcoma of gastrointestinal tract"
35610325,97,111,"Follicular lymphoma, cutaneous follicle centre"
133974,563,686,"Overlapping malignant neoplasm of skin"
133419,402,777,"Overlapping malignant melanoma of skin"
4031109,911,1950,"Melanoma in situ of trunk"
378081,119,145,"Overlapping malignant neoplasm of soft tissues"
253977,41,67,"Overlapping malignant neoplasm of accessory sinuses"
432558,202,341,"Overlapping malignant neoplasm of nasopharynx"
4031134,14,17,"Benign neoplasm of mesothelial tissue of pleura"
433435,4225,5423,"Carcinoma in situ"
440044,215,388,"Overlapping malignant neoplasm of hypopharynx"
321234,33,53,"Overlapping malignant neoplasm of heart, mediastinum and pleura"
140958,18,20,"Kaposi's sarcoma of palate"
254583,34,42,"Kaposi's sarcoma of lung"
436043,275,477,"Overlapping malignant neoplasm of tongue"
25748,639,1151,"Overlapping malignant neoplasm of esophagus"
4001666,98,158,"Mesothelioma of peritoneum"
4003028,1416,1430,"Primary malignant neoplasm of descended testis"
198082,584,1034,"Overlapping malignant neoplasm of body of uterus"
4001315,482,660,"Lobular carcinoma in situ of breast"
4002343,5,6,"Overlapping malignant neoplasm of peripheral nerves and autonomic nervous system"
4003178,3,3,"Benign neoplasm of peripheral nerve of pelvic region"
4003188,246,331,"Adult T-cell leukemia/lymphoma"
4001172,71,139,"Hepatoblastoma"
4003027,34,60,"Overlapping malignant neoplasm of penis"
4002344,40,61,"Benign neoplasm of peripheral nerve of head, face AND/OR neck"
4003175,54,67,"Primary malignant neoplasm of peripheral nerves of upper limb"
4001322,27,29,"Benign neoplasm of peripheral nerves of trunk"
434881,1799,2580,"Peripheral T-cell lymphoma (clinical)"
4003184,101,123,"Acute panmyelosis with myelofibrosis"
4002496,15,28,"Mast cell leukemia (clinical)"
4002498,472,816,"Overlapping malignant neoplasm of tonsil"
36712771,310,342,"Small cell carcinoma"
79740,1750,3228,"Overlapping malignant neoplasm of colon"
196064,66,84,"Carcinoma in situ of digestive organ"
4003684,158,306,"Overlapping malignant neoplasm of male breast"
4003693,694,760,"Overlapping malignant neoplasm of brain"
