measurement_concept_id,concept_name,measurement_source_value,class
734307,Nottingham score,Nottingham nuclear score 1,Staging/Grading
734308,Nottingham score,Nottingham nuclear score 2,Staging/Grading
734309,Nottingham score,Nottingham nuclear score 3,Staging/Grading
734310,Nottingham score,Nottingham mitotic score 1,Staging/Grading
734311,Nottingham score,Nottingham mitotic score 2,Staging/Grading
734312,Nottingham score,Nottingham mitotic score 3,Staging/Grading
734313,Nottingham score,Nottingham tubular score 1,Staging/Grading
734314,Nottingham score,Nottingham tubular score 2,Staging/Grading
734315,Nottingham score,Nottingham tubular score 3,Staging/Grading
1634599,Stage,Stage DS,Staging/Grading
1634738,Stage,Stage L1,Staging/Grading
1633283,Stage,Stage L2,Staging/Grading
1633615,Stage,Stage M1,Staging/Grading
1635416,Stage,Stage MS,Staging/Grading
1635565,SR,Symptoms relief,Staging/Grading
1634902,B-symptoms,Systemic symptoms present,Staging/Grading
1633501,PsP,Tumor pseudoprogression,Staging/Grading
1634539,Transformation,Tumor transformation,Staging/Grading
1634174,WHO,WHO response criteria: complete response,Staging/Grading
1633388,WHO,WHO response criteria: partial response,Staging/Grading
1635650,WHO,WHO response criteria: progressive disease,Staging/Grading
1633992,WHO,WHO response criteria: stable disease,Staging/Grading
1633793,Clark,Anatomic Clark Level 1,Staging/Grading
1635247,Clark,Anatomic Clark Level 2,Staging/Grading
1635557,Clark,Anatomic Clark Level 3,Staging/Grading
1635040,Clark,Anatomic Clark Level 4,Staging/Grading
1634546,Clark,Anatomic Clark Level 5,Staging/Grading
1633291,Ann Arbor,Ann Arbor Stage 1,Staging/Grading
1635620,Ann Arbor,Ann Arbor Stage 1E,Staging/Grading
1633933,Ann Arbor,Ann Arbor Stage 1ES,Staging/Grading
1635203,Ann Arbor,Ann Arbor Stage 1S,Staging/Grading
1634430,Ann Arbor,Ann Arbor Stage 2,Staging/Grading
1633637,Ann Arbor,Ann Arbor Stage 2E,Staging/Grading
1634682,Ann Arbor,Ann Arbor Stage 2ES,Staging/Grading
1635137,Ann Arbor,Ann Arbor Stage 2S,Staging/Grading
1635140,Ann Arbor,Ann Arbor Stage 3,Staging/Grading
1633354,Ann Arbor,Ann Arbor Stage 3E,Staging/Grading
1634068,Ann Arbor,Ann Arbor Stage 3ES,Staging/Grading
1633993,Ann Arbor,Ann Arbor Stage 3S,Staging/Grading
1633464,Ann Arbor,Ann Arbor Stage 4,Staging/Grading
1634809,BCLC,BCLC 0 Stage,Staging/Grading
1635609,BCLC,BCLC A Stage,Staging/Grading
1635555,BCLC,BCLC B Stage,Staging/Grading
1635711,BCLC,BCLC C Stage,Staging/Grading
1635471,BCLC,BCLC D Stage,Staging/Grading
1635315,Binet,Binet Stage A,Staging/Grading
1635179,Binet,Binet Stage B,Staging/Grading
1635062,Binet,Binet Stage C,Staging/Grading
1633986,Bulky,Bulky disease present,Staging/Grading
1633884,CHOI,CHOI: complete response,Staging/Grading
1633939,CHOI,CHOI: partial response,Staging/Grading
1634959,CHOI,CHOI: progressive disease,Staging/Grading
1633706,CHOI,CHOI: stable disease,Staging/Grading
1635118,CB,Clinical benefit,Staging/Grading
1635025,Gleason Score,Clinical Gleason Score 10,Staging/Grading
1634832,Gleason Score,Clinical Gleason Score 3+4,Staging/Grading
1634699,Gleason Score,Clinical Gleason Score 4+3,Staging/Grading
1634249,Gleason Score,Clinical Gleason Score 7,Staging/Grading
1633509,Gleason Score,Clinical Gleason Score 8,Staging/Grading
1634774,Gleason Score,Clinical Gleason Score 9,Staging/Grading
1634989,Gleason Score,Clinical Gleason Score <=6,Staging/Grading
1635831,COG,COG Stage 1,Staging/Grading
1634113,COG,COG Stage 2,Staging/Grading
1635552,COG,COG Stage 3,Staging/Grading
1635274,COG,COG Stage 4,Staging/Grading
1635767,COG,COG Stage 5,Staging/Grading
1633363,CR,Complete response,Staging/Grading
1634281,Deauville,Deauville Score 1,Staging/Grading
1633521,Deauville,Deauville Score 2,Staging/Grading
1633783,Deauville,Deauville Score 3,Staging/Grading
1634538,Deauville,Deauville Score 4,Staging/Grading
1633625,Deauville,Deauville Score 5,Staging/Grading
1635432,Dukes,Dukes' Stage A,Staging/Grading
1633548,Dukes,Dukes' Stage B,Staging/Grading
1635190,Dukes,Dukes' Stage C,Staging/Grading
1633927,Dukes,Dukes' Stage D,Staging/Grading
1635124,DS,Durie/Salmon Stage 1,Staging/Grading
1635673,DS,Durie/Salmon Stage 2,Staging/Grading
1634548,DS,Durie/Salmon Stage 3,Staging/Grading
1634364,enneking,Enneking Stage 1A,Staging/Grading
1634570,enneking,Enneking Stage 1B,Staging/Grading
1633584,enneking,Enneking Stage 2A,Staging/Grading
1635172,enneking,Enneking Stage 2B,Staging/Grading
1635821,enneking,Enneking Stage 3,Staging/Grading
1633931,ENSAT,ENSAT Stage 1,Staging/Grading
1634983,ENSAT,ENSAT Stage 2,Staging/Grading
1635589,ENSAT,ENSAT Stage 3,Staging/Grading
1634779,ENSAT,ENSAT Stage 4,Staging/Grading
1633982,evans,Evans Stage 1,Staging/Grading
1634148,evans,Evans Stage 2,Staging/Grading
1635872,evans,Evans Stage 3,Staging/Grading
1633560,evans,Evans Stage 4,Staging/Grading
1635403,evans,Evans Stage 5,Staging/Grading
1635798,extensive,Extensive Stage,Staging/Grading
1634231,FIGO 2015,FIGO 2015 Stage 0,Staging/Grading
1635384,FIGO 2015,FIGO 2015 Stage 1,Staging/Grading
1633804,FIGO 2015,FIGO 2015 Stage 1A,Staging/Grading
1633825,FIGO 2015,FIGO 2015 Stage 1A1,Staging/Grading
1633870,FIGO 2015,FIGO 2015 Stage 1A2,Staging/Grading
1634725,FIGO 2015,FIGO 2015 Stage 1B,Staging/Grading
1634110,FIGO 2015,FIGO 2015 Stage 1B1,Staging/Grading
1634196,FIGO 2015,FIGO 2015 Stage 1B2,Staging/Grading
1634115,FIGO 2015,FIGO 2015 Stage 1B3,Staging/Grading
1633428,FIGO 2015,FIGO 2015 Stage 1C,Staging/Grading
1635426,FIGO 2015,FIGO 2015 Stage 1C1,Staging/Grading
1633302,FIGO 2015,FIGO 2015 Stage 1C2,Staging/Grading
1633653,FIGO 2015,FIGO 2015 Stage 1C3,Staging/Grading
1634161,FIGO 2015,FIGO 2015 Stage 2,Staging/Grading
1633395,FIGO 2015,FIGO 2015 Stage 2A,Staging/Grading
1634806,FIGO 2015,FIGO 2015 Stage 2A1,Staging/Grading
1635883,FIGO 2015,FIGO 2015 Stage 2A2,Staging/Grading
1635032,FIGO 2015,FIGO 2015 Stage 2B,Staging/Grading
1633745,FIGO 2015,FIGO 2015 Stage 3,Staging/Grading
1634471,FIGO 2015,FIGO 2015 Stage 3A,Staging/Grading
1633733,FIGO 2015,FIGO 2015 Stage 3A1,Staging/Grading
1635773,FIGO 2015,FIGO 2015 Stage 3A1(I),Staging/Grading
1633477,FIGO 2015,FIGO 2015 Stage 3A1(II),Staging/Grading
1634622,FIGO 2015,FIGO 2015 Stage 3A2,Staging/Grading
1634609,FIGO 2015,FIGO 2015 Stage 3B,Staging/Grading
1634897,FIGO 2015,FIGO 2015 Stage 3C,Staging/Grading
1633879,FIGO 2015,FIGO 2015 Stage 3C1,Staging/Grading
